City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,takab,36.4009,47.1133,-5.43,83,40,1.31,IR,1673898500
211,xam nua,20.4197,104.0439,10.73,92,84,1.21,LA,1673898501
212,goderich,43.7501,-81.7165,6.18,31,100,5.66,CA,1673898502
213,fairbanks,64.8378,-147.7164,-14.02,82,100,3.09,US,1673898273
214,broome,42.2506,-75.833,4.14,57,0,6.69,US,1673898503
215,yambio,4.5721,28.3955,25.71,27,80,2.7,SS,1673898504
216,pascagoula,30.3658,-88.5561,20.02,81,100,2.57,US,1673898476
217,arraial do cabo,-22.9661,-42.0278,28.98,69,0,10.29,BR,1673898408
218,wicklow,53.0,-6.4167,-1.62,82,71,1.26,IE,1673898216
219,bengkulu,-3.8004,102.2655,23.88,91,100,1.92,ID,1673898505
220,kefar weradim,32.9939,35.2779,9.94,77,58,1.34,IL,1673898506
221,turukhansk,65.8167,87.9833,-31.86,86,87,3.18,RU,1673898507
222,noyabrsk,63.1994,75.4507,-22.65,100,100,0.73,RU,1673898508
223,laguna,38.421,-121.4238,12.81,77,0,5.14,US,1673898509
224,verkhnyaya inta,65.9811,60.3094,-6.01,79,100,8.82,RU,1673898509
225,grenville,12.1167,-61.6167,29.03,72,12,4.45,GD,1673898510
226,mocuba,-16.8392,36.9856,22.54,98,100,1.2,MZ,1673898511
227,wajima,37.4,136.9,2.83,59,100,3.95,JP,1673898512
228,zhangjiakou,40.81,114.8794,-13.62,78,1,2.28,CN,1673898513
229,merrill,45.1805,-89.6835,1.56,97,100,3.6,US,1673898513
230,butembo,0.15,29.2833,15.06,59,18,1.55,CD,1673898514
231,la ronge,55.1001,-105.2842,-7.86,86,100,2.57,CA,1673898514
232,san isidro,-12.1167,-77.05,24.77,61,0,5.66,PE,1673898515
233,inhambane,-23.865,35.3833,26.99,83,20,1.54,MZ,1673898515
234,komsomolets,53.7453,62.0708,-21.59,80,6,2.51,KZ,1673898516
235,bredasdorp,-34.5322,20.0403,21.43,87,99,7.8,ZA,1673898517
236,nhulunbuy,-12.2333,136.7667,26.34,94,40,2.57,AU,1673898517
237,broken hill,-31.95,141.4333,25.73,45,6,3.94,AU,1673898518
238,champerico,14.3,-91.9167,33.3,63,24,5.11,GT,1673898518
239,khatanga,71.9667,102.5,-40.18,97,23,4.06,RU,1673898519
240,vartholomio,37.8667,21.2,15.08,88,40,3.09,GR,1673898520
241,uddevalla,58.3478,11.9424,3.37,90,100,4.51,SE,1673898520
242,am timan,11.0297,20.2827,25.84,19,28,2.51,TD,1673898521
243,nishinomiya,34.7167,135.3333,5.99,85,13,1.03,JP,1673898521
244,vardo,70.3705,31.1107,1.99,75,75,8.23,NO,1673898522
245,krasnyy chikoy,50.3643,108.7512,-19.68,93,100,2.36,RU,1673898523
246,petropavlovsk-kamchatskiy,53.0452,158.6483,-21.24,59,0,3.0,RU,1673898523
247,ornskoldsvik,63.2909,18.7153,-7.47,93,20,4.12,SE,1673898524
248,klaksvik,62.2266,-6.589,-2.49,66,100,9.88,FO,1673898524
249,deputatskiy,69.3,139.9,-34.52,100,100,0.88,RU,1673898525
250,houma,29.5958,-90.7195,22.22,77,100,6.17,US,1673898526
251,tupelo,34.2576,-88.7034,15.9,57,100,4.63,US,1673898301
252,riyadh,24.6877,46.7219,17.08,69,39,5.48,SA,1673898526
253,leningradskiy,69.3833,178.4167,-36.55,98,20,2.47,RU,1673898527
254,san cristobal,7.7669,-72.225,21.1,49,82,0.61,VE,1673898413
255,baykit,61.67,96.37,-29.54,97,100,2.39,RU,1673898297
256,palanga,55.9175,21.0686,1.01,93,0,4.12,LT,1673898528
257,arvika,59.6553,12.5852,2.34,87,100,3.67,SE,1673898529
258,polyarnyy,69.1989,33.4478,-2.14,86,100,5.37,RU,1673898530
259,kashi,39.4547,75.9797,-16.44,78,6,3.0,CN,1673898530
260,tilichiki,60.4667,166.1,-28.89,95,67,3.93,RU,1673898531
261,manacapuru,-3.2997,-60.6206,29.52,62,54,1.82,BR,1673898532
262,bambous virieux,-20.3428,57.7575,26.23,78,75,5.14,MU,1673898533
263,boralday,43.3578,76.8594,-18.08,85,4,2.0,KZ,1673898533
264,chokurdakh,70.6333,147.9167,-31.67,96,55,5.17,RU,1673898534
265,chiredzi,-21.05,31.6667,21.86,94,100,2.35,ZW,1673898534
266,sioux lookout,50.1001,-91.917,0.04,93,100,0.0,CA,1673898309
267,seoul,37.5683,126.9778,-5.31,68,0,1.54,KR,1673897893
268,mama,58.3106,112.8986,-35.91,100,90,0.63,RU,1673898536
269,mayo,38.8876,-76.5119,13.23,25,0,5.81,US,1673898536
270,hidrolandia,-4.4081,-40.4378,25.45,70,100,0.55,BR,1673898537
271,flic en flac,-20.2742,57.3631,26.4,73,100,6.79,MU,1673898537
272,lata,40.1629,-8.3327,13.78,93,99,6.82,PT,1673898538
273,coquimbo,-29.9533,-71.3436,20.85,64,20,6.17,CL,1673898197
274,sfantu gheorghe,45.8667,25.7833,3.85,76,100,1.05,RO,1673898539
275,seydisehir,37.4193,31.8453,3.34,89,6,2.07,TR,1673898539
276,labuhan,-6.8844,112.2051,24.73,91,100,2.76,ID,1673898540
277,necochea,-38.5473,-58.7368,23.3,43,0,7.7,AR,1673898540
278,songea,-10.6833,35.65,18.64,94,100,1.54,TZ,1673898541
279,storforshei,66.4043,14.5233,-6.12,92,75,1.03,NO,1673898542
280,chuy,-33.6971,-53.4616,26.47,48,0,6.0,UY,1673898542
281,genhe,50.7833,121.5167,-31.82,100,100,0.06,CN,1673898544
282,akcakoca,41.0866,31.1162,8.89,63,32,2.2,TR,1673898545
283,shingu,33.7333,135.9833,2.71,77,3,2.64,JP,1673898545
284,norman wells,65.282,-126.8329,-25.54,97,98,0.65,CA,1673898546
285,muroto,33.2833,134.15,8.05,72,50,5.39,JP,1673898547
286,hudson bay,52.85,-102.3842,-10.21,91,91,0.75,CA,1673898547
287,trairi,-3.2778,-39.2689,27.25,71,100,4.36,BR,1673898390
288,sur,22.5667,59.5289,20.84,63,66,1.92,OM,1673898563
289,chegutu,-18.1302,30.1407,18.74,92,100,3.75,ZW,1673898588
290,florianopolis,-27.6146,-48.5012,27.53,93,75,6.17,BR,1673898057
291,olinda,-8.0089,-34.8553,27.85,69,40,4.12,BR,1673898220
292,elliot lake,46.3834,-82.6331,0.12,86,99,4.05,CA,1673898589
293,saldanha,-33.0117,17.9442,23.03,94,17,3.49,ZA,1673898454
294,brejo,-3.6844,-42.7503,24.02,90,100,1.54,BR,1673898589
295,nalut,30.3333,10.85,10.77,33,0,3.68,LY,1673898590
296,madera,37.1666,-119.8343,8.89,90,100,2.02,US,1673898510
297,dutlwe,-23.9833,23.9,25.91,41,41,5.26,BW,1673898591
298,nantucket,41.2835,-70.0995,3.03,87,100,9.26,US,1673898593
299,simoes,-7.5989,-40.8178,28.94,45,100,2.36,BR,1673898594
300,aqtobe,50.2797,57.2072,-20.95,77,0,2.0,KZ,1673898594
301,bereda,43.2686,-7.5406,12.45,100,100,6.5,ES,1673898595
302,mao,39.8885,4.2658,14.31,72,20,7.2,ES,1673898595
303,pihuamo,19.2499,-103.3828,29.33,18,93,2.83,MX,1673898596
304,along,28.1667,94.7667,10.97,96,89,1.16,IN,1673898596
305,vieira de leiria,39.8695,-8.9324,14.61,92,75,6.17,PT,1673898597
306,shieli,44.1667,66.75,-5.15,40,0,4.92,KZ,1673898597
307,teknaf,20.8624,92.3058,16.83,66,0,3.73,BD,1673898598
308,poum,-20.2333,164.0167,26.21,72,100,5.54,NC,1673898598
309,avera,33.194,-82.5271,17.03,36,100,3.02,US,1673898599
310,new norfolk,-42.7826,147.0587,14.72,92,18,0.85,AU,1673898600
311,abapo,-18.8333,-63.4667,34.06,24,8,4.76,BO,1673898600
312,garmisch-partenkirchen,47.4921,11.0958,1.04,87,100,1.02,DE,1673898601
313,chabahar,25.2919,60.643,20.19,40,84,0.56,IR,1673898602
314,flinders,-34.5833,150.8552,19.54,88,96,1.79,AU,1673898602
315,aulum,56.2649,8.787,3.19,97,100,6.12,DK,1673898603
316,axim,4.8699,-2.2405,26.86,79,16,3.09,GH,1673898604
317,flagstaff,35.1981,-111.6513,0.87,92,100,5.66,US,1673898605
318,hamilton,39.1834,-84.5333,9.02,54,100,4.12,US,1673898427
319,whithorn,18.2604,-78.0378,24.69,47,0,0.77,JM,1673898606
320,medicine hat,50.0501,-110.6683,-0.64,97,100,1.03,CA,1673898607
321,saint-pierre,-21.3393,55.4781,25.82,69,0,7.72,RE,1673898607
322,ormara,25.2088,64.6357,19.42,39,1,1.69,PK,1673898608
